algorithm,run,seed,noise_label,best_true_f,best_observed_f,x1,x2,feasible,evaluations,param_initial_temp,param_cooling_rate,param_step_size,param_min_temp,param_population_size,param_elite_fraction,param_crossover_rate,param_mutation_step,param_mutation_decay,param_min_mutation_step,param_tournament_size,param_initial_step,param_min_step,param_base_samples,param_max_samples,param_ambiguity_z
SA,0,20260602,hetero,-0.7220009889194361,-1.3043132767411725,0.8538250457355039,0.5205600746069226,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,0,20360605,hetero,-0.728724059426876,-1.3348052267539114,0.8413377220204737,0.5405097940883218,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,0,20460608,hetero,-0.7165158480148615,-1.1289701432206964,0.8565070612023571,0.516135306010451,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,1,20261611,hetero,-0.6869775087121475,-1.3298904089454624,0.8227865973845606,0.56835043341616,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,1,20361614,hetero,-0.7279728398680805,-1.356483270727295,0.8492803003705975,0.52794220460428,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,1,20461617,hetero,-0.5891859954262414,-1.1077004055082336,0.8280868604320756,0.44108532364235503,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,2,20262620,hetero,-0.6811697001898254,-1.3566311496215717,0.8668835608945559,0.49851067375812,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,2,20362623,hetero,-0.6949007005190786,-1.33810807506381,0.8250118508642666,0.5651154270885878,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,2,20462626,hetero,-0.7245680086237675,-0.8879536522685371,0.8522304775006225,0.5231665253234966,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,3,20263629,hetero,-0.7195926239069262,-1.2605319816956673,0.8534196387174698,0.5117640521484522,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,3,20363632,hetero,-0.7140356745420433,-1.284263757429588,0.8316557194009394,0.5552916030228676,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,3,20463635,hetero,-0.7170870284486703,-1.107164310160634,0.8194923456754192,0.5384696358715158,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,4,20264638,hetero,-0.7158818566936217,-1.2983075476675296,0.8324650377283096,0.5540775766623337,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,4,20364641,hetero,-0.7284057296238975,-1.2872687942796242,0.8487449317979398,0.5288024590972611,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,4,20464644,hetero,-0.7205247252607518,-1.0024188502499647,0.8347629017932419,0.5506095692863741,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,5,20265647,hetero,-0.6427359688263838,-1.4638518499494095,0.8741548919155658,0.4856472227245672,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,5,20365650,hetero,-0.7291399868782975,-1.4091309413146451,0.8476055023468535,0.5306269050767575,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,5,20465653,hetero,-0.7206312866760501,-1.0844070801844752,0.8545667238373086,0.5193416163855629,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,6,20266656,hetero,-0.7298359445053442,-1.2583954950517104,0.8454810428494159,0.534005436472574,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,6,20366659,hetero,-0.7036089478201718,-1.3756257184008853,0.8277437398567964,0.5611063189163746,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,6,20466662,hetero,-0.7008559406365763,-1.1434403024892053,0.8268402864518566,0.5624367881817579,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,7,20267665,hetero,-0.489432653338671,-1.3547675471009901,0.7882718466560988,0.6153271453214004,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,7,20367668,hetero,-0.6367498167054257,-1.4156532559929922,0.8261940206339986,0.4570959082837795,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,7,20467671,hetero,-0.7127373688673417,-1.0680638327991523,0.8484749299507435,0.496164590347264,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,8,20268674,hetero,-0.6693602873517451,-1.2845993467194823,0.8184177257225129,0.5746237257746932,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,8,20368677,hetero,-0.6995911555286629,-1.3686476717685059,0.8264385322400409,0.5630269553306722,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,8,20468680,hetero,-0.728117375120902,-1.1064379283310997,0.8491091349807575,0.5282174522791063,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,9,20269683,hetero,-0.7287536559234098,-1.2886527804355692,0.8482533357447556,0.529590670610704,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,9,20369686,hetero,-0.7199698373079922,-1.373125101833547,0.8344631162403542,0.5510637963379894,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,9,20469689,hetero,-0.4152549982357307,-0.7043307212318887,0.48733845686394406,0.8732131632433571,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,10,20270692,hetero,-0.641857396480688,-1.2021373340879133,0.8742993364760893,0.485387134396319,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,10,20370695,hetero,-0.7261068456181321,-1.411588386115361,0.8384796470299374,0.5449329146936819,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,10,20470698,hetero,-0.605002676072425,-1.1510373845861208,0.8031746595816021,0.4622167622771032,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
